severity_threshold,feature_set,model_variant,cutoff_method,probability_cutoff,split,train_failure_rate,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,AP,TN,FP,FN,TP,actual_failure_rate,predicted_failure_rate,always_normal_accuracy,rows
12,enhanced_features,balanced,validation_F1,0.5,Test,0.12950391644908615,0.6266666666666667,0.1863905325443787,0.65625,0.2903225806451613,0.6776227423411065,0.1972531103122969,0.19930878337184602,908,550,66,126,0.11636363636363636,0.40969696969696967,0.8836363636363637,1650
13,enhanced_features,default,fixed_0.5,0.5,Validation,0.08929503916449086,0.9164634146341464,1.0,0.007246376811594203,0.014388489208633094,0.6534234547173816,0.16152043019391368,0.16463134524251088,1502,0,137,1,0.08414634146341464,0.0006097560975609756,0.9158536585365854,1640
13,enhanced_features,default,validation_F1,0.09,Validation,0.08929503916449086,0.6335365853658537,0.13078149920255183,0.5942028985507246,0.21437908496732025,0.6534234547173816,0.16152043019391368,0.16463134524251088,957,545,56,82,0.08414634146341464,0.3823170731707317,0.9158536585365854,1640
13,enhanced_features,default,fixed_0.5,0.5,Test,0.08929503916449086,0.9193939393939394,0.0,0.0,0.0,0.6800174463845837,0.1641927202106296,0.16629563592301122,1517,0,133,0,0.08060606060606061,0.0,0.9193939393939394,1650
13,enhanced_features,default,validation_F1,0.09,Test,0.08929503916449086,0.6412121212121212,0.12924071082390953,0.6015037593984962,0.2127659574468085,0.6800174463845837,0.1641927202106296,0.16629563592301122,978,539,53,80,0.08060606060606061,0.3751515151515151,0.9193939393939394,1650
13,enhanced_features,balanced,fixed_0.5,0.5,Validation,0.08929503916449086,0.6268292682926829,0.13312693498452013,0.6231884057971014,0.2193877551020408,0.6617987610721936,0.1619380433539599,0.16444062535923776,942,560,52,86,0.08414634146341464,0.39390243902439026,0.9158536585365854,1640
13,enhanced_features,balanced,validation_F1,0.48,Validation,0.08929503916449086,0.6067073170731707,0.13629842180774748,0.6884057971014492,0.2275449101796407,0.6617987610721936,0.1619380433539599,0.16444062535923776,900,602,43,95,0.08414634146341464,0.425,0.9158536585365854,1640
13,enhanced_features,balanced,fixed_0.5,0.5,Test,0.08929503916449086,0.6284848484848485,0.13414634146341464,0.6616541353383458,0.22306717363751585,0.6883986498877384,0.16493810940149786,0.1670121701979364,949,568,45,88,0.08060606060606061,0.3975757575757576,0.9193939393939394,1650
13,enhanced_features,balanced,validation_F1,0.48,Test,0.08929503916449086,0.6,0.13351877607788595,0.7218045112781954,0.22535211267605634,0.6883986498877384,0.16493810940149786,0.1670121701979364,894,623,37,96,0.08060606060606061,0.43575757575757573,0.9193939393939394,1650
14,enhanced_features,default,fixed_0.5,0.5,Validation,0.07023498694516972,0.9304878048780488,1.0,0.008695652173913044,0.017241379310344827,0.6678774055595155,0.1556026008298339,0.15836253291060032,1525,0,114,1,0.0701219512195122,0.0006097560975609756,0.9298780487804879,1640
14,enhanced_features,default,validation_F1,0.08,Validation,0.07023498694516972,0.6871951219512196,0.12310606060606061,0.5652173913043478,0.20217729393468117,0.6678774055595155,0.1556026008298339,0.15836253291060032,1062,463,50,65,0.0701219512195122,0.32195121951219513,0.9298780487804879,1640
14,enhanced_features,default,fixed_0.5,0.5,Test,0.07023498694516972,0.9357575757575758,0.0,0.0,0.0,0.6750048880633492,0.1286199883691712,0.13088130368422835,1544,0,106,0,0.06424242424242424,0.0,0.9357575757575758,1650
14,enhanced_features,default,validation_F1,0.08,Test,0.07023498694516972,0.6866666666666666,0.10404624277456648,0.5094339622641509,0.1728,0.6750048880633492,0.1286199883691712,0.13088130368422835,1079,465,52,54,0.06424242424242424,0.3145454545454546,0.9357575757575758,1650
14,enhanced_features,balanced,fixed_0.5,0.5,Validation,0.07023498694516972,0.6274390243902439,0.11846153846153847,0.6695652173913044,0.20130718954248367,0.6757291518175339,0.15365973229294005,0.1564572707761497,952,573,38,77,0.0701219512195122,0.39634146341463417,0.9298780487804879,1640
14,enhanced_features,balanced,validation_F1,0.53,Validation,0.07023498694516972,0.6780487804878049,0.12658227848101267,0.6086956521739131,0.20958083832335328,0.6757291518175339,0.15365973229294005,0.1564572707761497,1042,483,45,70,0.0701219512195122,0.33719512195121953,0.9298780487804879,1640
14,enhanced_features,balanced,fixed_0.5,0.5,Test,0.07023498694516972,0.6206060606060606,0.10843373493975904,0.6792452830188679,0.18701298701298702,0.6836323198748656,0.13187200497184925,0.13373635732445505,952,592,34,72,0.06424242424242424,0.4024242424242424,0.9357575757575758,1650
14,enhanced_features,balanced,validation_F1,0.53,Test,0.07023498694516972,0.6733333333333333,0.10990990990990991,0.5754716981132075,0.18456883509833585,0.6836323198748656,0.13187200497184925,0.13373635732445505,1050,494,45,61,0.06424242424242424,0.33636363636363636,0.9357575757575758,1650
